attempt_index,saved,num_frames,finish_time,total_progress,distance,path
1,0,276,1.2200000286102295,0.0,0.3853297829627991,
2,0,553,7.150000095367432,6.25,287.1154479980469,
3,0,750,9.600000381469727,9.027777777777777,403.70013427734375,
4,1,6555,75.97000122070312,100.0,4869.9599609375,logs/supervised_data\20260320_221333_map_AI Training #3_target_dataset\attempts\attempt_0004.npz
5,0,936,11.65999984741211,11.11111111111111,529.8775634765625,
6,0,944,12.130000114440918,11.805555555555555,546.7369995117188,
7,0,4778,55.83000183105469,76.38888888888889,3665.71240234375,
8,1,6276,72.44999694824219,100.0,4773.7255859375,logs/supervised_data\20260320_221333_map_AI Training #3_target_dataset\attempts\attempt_0008.npz
9,0,837,10.729999542236328,10.416666666666668,478.0013122558594,
10,0,655,8.550000190734863,8.333333333333332,348.9820556640625,
11,0,621,8.0600004196167,6.944444444444445,329.9039001464844,
12,0,5229,60.630001068115234,83.33333333333334,4036.5244140625,
13,0,1821,23.110000610351562,27.77777777777778,1379.6485595703125,
14,0,1734,21.899999618530273,25.694444444444443,1279.49462890625,
15,0,6306,71.86000061035156,97.22222222222221,4682.7607421875,
16,0,258,3.0999999046325684,1.3888888888888888,67.38175964355469,
17,0,1764,22.270000457763672,26.38888888888889,1309.6373291015625,
18,0,1678,21.149999618530273,25.0,1261.037353515625,
19,0,879,11.319999694824219,11.11111111111111,517.5623168945312,
20,0,2162,29.09000015258789,36.11111111111111,1809.199951171875,
21,0,610,7.78000020980835,6.944444444444445,316.2624206542969,
22,0,3958,46.65999984741211,61.111111111111114,2989.296142578125,
23,0,556,7.010000228881836,6.25,278.0520324707031,
24,0,679,8.770000457763672,8.333333333333332,373.9659118652344,
25,0,847,10.859999656677246,10.416666666666668,498.7927551269531,
26,0,1733,22.31999969482422,26.38888888888889,1313.611572265625,
27,0,1968,24.6200008392334,29.86111111111111,1472.109375,
28,0,875,11.239999771118164,11.11111111111111,517.5064086914062,
29,0,909,11.479999542236328,11.11111111111111,522.6865234375,
30,1,6233,72.11000061035156,100.0,4826.27392578125,logs/supervised_data\20260320_221333_map_AI Training #3_target_dataset\attempts\attempt_0030.npz
31,0,519,6.619999885559082,5.555555555555555,258.35577392578125,
