timestamp_utc,generation,dist_avg,dist_best_gen,dist_best_global,time_avg,time_best_gen,time_best_global,finish_rate,crash_rate,timeout_rate,best_term,best_progress,best_distance,best_time,best_fitness
2026-04-08T13:43:00Z,1,1.6071428060531616,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,77.72494506835938,3.759999990463257,-991428571.4285715
2026-04-08T13:46:21Z,2,3.6607141494750977,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,78.37547302246094,3.799999952316284,-991428571.4285715
2026-04-08T13:49:56Z,3,5.0,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,78.02359771728516,3.930000066757202,-991428571.4285715
2026-04-08T13:53:27Z,4,4.8214287757873535,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,78.06428527832031,3.7300000190734863,-991428571.4285715
2026-04-08T13:57:15Z,5,5.089285850524902,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,81.54444122314453,4.849999904632568,-991428571.4285715
2026-04-08T14:00:37Z,6,4.732142925262451,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,78.60321044921875,3.890000104904175,-991428571.4285715
2026-04-08T14:03:44Z,7,4.642857551574707,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,80.68177032470703,4.03000020980835,-991428571.4285715
2026-04-08T14:06:52Z,8,4.821428298950195,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,78.0587158203125,3.740000009536743,-991428571.4285715
2026-04-08T14:09:55Z,9,5.0,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,78.49932098388672,4.260000228881836,-991428571.4285715
2026-04-08T14:13:03Z,10,5.089285850524902,8.571428571428571,8.571428571428571,30.0,30.0,30.0,0.0,1.0,0.0,-1,8.571428571428571,79.76484680175781,4.289999961853027,-991428571.4285715
