timestamp_utc,episode,term,progress,time,distance,fitness,baseline,return_std,advantage,loss,log_prob_sum,entropy,grad_norm,steps,steer_std,model_path
2026-04-27T22:06:03Z,1,-1,2.857142857142857,5.619999885559082,31.20087242126465,-997142857.1428572,0.0,997142857.1428572,-1.0,-990.4321899414062,-989.4879150390625,944.24755859375,136.39633178710938,538,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:06:13Z,2,-1,2.857142857142857,7.289999961853027,41.23068618774414,-997142857.1428572,-997142857.1428572,1000000.0,0.0,-1.2321014404296875,-1202.479736328125,1232.1014404296875,0.008921652100980282,702,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:06:22Z,3,-1,2.857142857142857,6.860000133514404,36.66989517211914,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.0723865032196045,-1056.1102294921875,1072.386474609375,0.007804640103131533,611,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:06:31Z,4,-1,2.857142857142857,7.21999979019165,40.32766342163086,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.2145346403121948,-1190.31005859375,1214.5345458984375,0.009118355810642242,692,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:06:41Z,5,-1,2.857142857142857,6.889999866485596,33.190284729003906,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.147838830947876,-1156.033203125,1147.8387451171875,0.008579307235777378,654,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:06:49Z,6,-1,2.857142857142857,6.570000171661377,38.40177917480469,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.1285563707351685,-1138.2318115234375,1128.5562744140625,0.00800927821546793,643,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:06:58Z,7,-1,2.857142857142857,7.010000228881836,36.693565368652344,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.1969859600067139,-1230.4202880859375,1196.9859619140625,0.008849679492413998,682,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:07:07Z,8,-1,2.857142857142857,6.650000095367432,37.799068450927734,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.1268154382705688,-1128.0101318359375,1126.8154296875,0.007606791332364082,642,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:07:16Z,9,-1,2.857142857142857,6.269999980926514,38.89241409301758,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.0829333066940308,-1042.948486328125,1082.9332275390625,0.007378701586276293,617,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
2026-04-27T22:07:26Z,10,-1,2.857142857142857,7.860000133514404,40.33849334716797,-997142857.1428572,-997142857.1428572,1.0,0.0,-1.3427245616912842,-1363.877685546875,1342.7244873046875,0.008490334264934063,765,0.35,logs/rl_runs\20260428_000553_overnight_map_AI_Training__5_v2d_h32x16_rl\latest_model.pt
