frame,wall_time,game_time,progress,path_tile_index,speed,side_speed,steer,gas,brake,gear,rpm,wetness,segment_heading_error,next_segment_heading_error,fl_material_id,fl_material_name,fl_contact,fl_slip,fl_icing,fl_dirt,fr_material_id,fr_material_name,fr_contact,fr_slip,fr_icing,fr_dirt,rl_material_id,rl_material_name,rl_contact,rl_slip,rl_icing,rl_dirt,rr_material_id,rr_material_name,rr_contact,rr_slip,rr_icing,rr_dirt
15,1777369188.129337,39.680000,0.000000,0,8.228100,-0.221000,0.000000,0.000000,1.000000,1.000000,3177.153809,0.000000,0.015634,0.015634,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
16,1777369188.138337,39.680000,0.000000,0,8.136300,-0.167000,0.000000,0.000000,1.000000,1.000000,3159.153809,0.000000,0.016422,0.016422,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
17,1777369188.148337,39.689999,0.000000,0,8.031000,-0.102200,0.000000,0.000000,1.000000,1.000000,3138.153809,0.000000,0.017324,0.017324,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
18,1777369188.157336,39.700001,0.000000,0,7.837801,-0.046100,0.000000,0.000000,1.000000,1.000000,2973.153809,0.000000,0.018914,0.018914,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
19,1777369188.167340,39.709999,0.000000,0,7.736001,-0.039800,0.000000,0.000000,1.000000,1.000000,2854.153809,0.000000,0.019702,0.019702,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
20,1777369188.177339,39.720001,0.000000,0,7.550200,-0.033400,0.000000,0.000000,1.000000,1.000000,2633.153809,0.000000,0.021082,0.021082,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
21,1777369188.186337,39.730000,0.000000,0,7.452001,-0.031200,0.000000,0.000000,1.000000,1.000000,2514.153809,0.000000,0.021766,0.021766,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
22,1777369188.197337,39.740002,0.000000,0,7.271801,-0.028200,0.000000,0.000000,1.000000,1.000000,2293.153809,0.000000,0.022962,0.022962,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
23,1777369188.206337,39.750000,0.000000,0,7.177000,-0.026800,0.000000,0.000000,1.000000,1.000000,2174.153809,0.000000,0.023556,0.023556,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
24,1777369188.215376,39.759998,0.000000,0,7.003300,-0.024200,0.000000,0.000000,1.000000,1.000000,1953.153809,0.000000,0.024594,0.024594,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
