frame,wall_time,game_time,progress,path_tile_index,speed,side_speed,steer,gas,brake,gear,rpm,wetness,segment_heading_error,next_segment_heading_error,fl_material_id,fl_material_name,fl_contact,fl_slip,fl_icing,fl_dirt,fr_material_id,fr_material_name,fr_contact,fr_slip,fr_icing,fr_dirt,rl_material_id,rl_material_name,rl_contact,rl_slip,rl_icing,rl_dirt,rr_material_id,rr_material_name,rr_contact,rr_slip,rr_icing,rr_dirt
0,1777369148.957869,0.480000,0.000000,0,7.484000,0.000000,0.000000,1.000000,0.000000,1.000000,2621.585938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
1,1777369148.966868,0.510000,0.000000,0,8.007200,0.000000,0.000000,1.000000,0.000000,1.000000,3001.085938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
2,1777369148.975871,0.520000,0.000000,0,8.102201,0.000000,0.000000,1.000000,0.000000,1.000000,2956.085938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
3,1777369148.984874,0.530000,0.000000,0,8.324200,0.000000,0.000000,1.000000,0.000000,1.000000,2946.085938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
4,1777369148.993871,0.540000,0.000000,0,8.419600,0.000000,0.000000,1.000000,0.000000,1.000000,3015.085938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
5,1777369149.003870,0.550000,0.000000,0,8.530900,0.000000,0.000000,1.000000,0.000000,1.000000,3095.585938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
6,1777369149.012868,0.560000,0.000000,0,8.737600,0.000000,0.000000,1.000000,0.000000,1.000000,3245.085938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
7,1777369149.021871,0.570000,0.000000,0,8.848900,0.000000,0.000000,1.000000,0.000000,1.000000,3297.085938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
8,1777369149.032873,0.580000,0.000000,0,9.055201,0.000000,0.000000,1.000000,0.000000,1.000000,3190.085938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
9,1777369149.040869,0.590000,0.000000,0,9.165900,0.000000,0.000000,1.000000,0.000000,1.000000,3270.585938,0.000000,-0.000001,-0.000001,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000,16,Asphalt,1,0.000000,0.000000,0.000000
