generation,best_fitness,avg_fitness
1,202.2454376220703,-418.249755859375
2,99.83368682861328,-383.81378173828125
3,446.2308654785156,-299.8592529296875
4,81.97109985351562,-271.55474853515625
5,459.31195068359375,-132.91033935546875
6,462.24676513671875,-145.73529052734375
7,481.91162109375,-72.4273452758789
8,467.4430847167969,-45.087127685546875
9,477.51153564453125,63.22507858276367
10,473.12078857421875,45.14995574951172
11,470.7868957519531,88.05511474609375
12,481.8103332519531,-21.76810073852539
13,472.0904541015625,25.82146453857422
14,472.0956726074219,-123.17411804199219
15,156.99737548828125,-407.97918701171875
16,79.0693588256836,-385.96929931640625
17,273.4304504394531,-324.4598083496094
18,264.01324462890625,-290.5911865234375
19,344.2103576660156,-192.793212890625
20,429.08740234375,-51.055301666259766
