generation,best_fitness,avg_fitness
1,28.924951553344727,-661.385498046875
2,857.4104614257812,-412.43804931640625
3,1277.935791015625,-396.8968505859375
4,886.877685546875,-367.2041015625
5,1171.622802734375,-183.4022216796875
6,1458.96630859375,128.5102996826172
7,1546.72119140625,305.7579345703125
8,2113.91552734375,399.35394287109375
9,3799.094482421875,962.3238525390625
10,3842.872802734375,1084.649169921875
11,3891.9990234375,1462.3626708984375
12,2831.88720703125,1601.3896484375
13,3795.416259765625,1645.8189697265625
14,3277.9033203125,1605.422607421875
15,3804.344970703125,1921.34521484375
16,3582.951171875,2093.330078125
17,3888.502197265625,1994.75341796875
18,3810.953857421875,1971.811279296875
19,3766.837158203125,1864.43505859375
20,3766.318359375,1809.188720703125
21,3546.2998046875,2216.68896484375
22,3592.515380859375,2011.337890625
23,3831.628173828125,2279.3671875
24,3831.4150390625,2274.81591796875
25,3846.169921875,2465.7763671875
26,3818.57470703125,2463.3671875
27,3879.5888671875,2252.81982421875
28,3897.189208984375,2508.7822265625
29,3852.626220703125,2557.156005859375
30,3825.60546875,2647.4462890625
31,3832.361083984375,2444.2216796875
32,3803.64599609375,2997.5390625
33,3827.902587890625,2697.51513671875
34,3816.8408203125,2808.7939453125
35,3841.2529296875,2397.796630859375
36,3859.348388671875,2646.35791015625
37,3825.949951171875,2621.95947265625
38,3910.317138671875,2708.683349609375
39,3843.55908203125,2773.70751953125
40,3915.73193359375,2810.48486328125
41,3965.79296875,2883.8779296875
42,3871.717529296875,2768.40234375
43,3916.26953125,2711.19482421875
44,3883.267333984375,2734.8427734375
45,3994.93359375,3079.229248046875
46,3880.39697265625,2809.81640625
47,4095.3427734375,2871.80322265625
48,3991.457763671875,2980.001953125
49,3976.956787109375,3086.9462890625
50,4130.0068359375,2916.34228515625
51,4126.26025390625,2793.3720703125
52,4093.677490234375,3049.279296875
53,4128.25927734375,2867.2841796875
54,4147.14306640625,3012.406005859375
55,4143.681640625,3201.1953125
56,4115.42822265625,3061.36181640625
57,4150.2802734375,2994.51513671875
58,4086.598388671875,2778.0615234375
59,4171.037109375,2880.067626953125
60,3948.5244140625,2795.26220703125
61,4198.69873046875,2988.88134765625
62,4241.86572265625,3202.15576171875
63,3979.218017578125,3071.8310546875
64,3968.672607421875,2814.10986328125
65,4004.540771484375,3324.9638671875
66,4032.4052734375,3003.563232421875
67,4020.854248046875,2973.8427734375
68,4084.411376953125,3007.806396484375
69,4104.43408203125,3053.438720703125
70,4088.30810546875,2604.7587890625
71,4104.85009765625,2980.73388671875
72,4120.60986328125,2763.32666015625
73,4152.46435546875,2993.010986328125
74,4095.253173828125,2872.20263671875
75,4156.48291015625,2854.14599609375
76,4079.346435546875,2999.563720703125
77,4089.631103515625,2887.083984375
78,4115.19677734375,2704.57421875
79,4138.21142578125,3293.90771484375
80,4139.78271484375,2942.7236328125
81,4117.99560546875,2802.596923828125
82,4092.418212890625,2876.89453125
83,4085.587158203125,2663.14794921875
84,4060.8271484375,2817.269287109375
85,4064.62744140625,2742.9482421875
86,4202.7099609375,3028.32763671875
87,4054.40771484375,3050.302001953125
88,4083.533203125,2875.20458984375
89,4087.433837890625,2964.58935546875
90,4085.26904296875,2924.80224609375
91,4070.71923828125,2847.7275390625
92,4071.176513671875,2830.3876953125
93,4087.922119140625,2886.400390625
94,4096.07763671875,3034.25732421875
95,4114.28271484375,3022.46044921875
96,4097.56591796875,2883.552734375
97,4064.97119140625,2847.82470703125
98,4087.782958984375,2907.60986328125
99,4096.9501953125,2607.351806640625
100,4099.53125,2759.727294921875
