#{"t_start": 1777351104.5269413, "env_id": "None"}
r,l,t,episode_metrics
-993.714286,733,233.443244,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 6.139999866485596, 'distance': 70.24919891357422, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-996.857143,611,241.856243,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.960000038146973, 'distance': 48.608848571777344, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-993.428571,1059,254.637778,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 9.4399995803833, 'distance': 77.99333190917969, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 8.571428571428571, 'reward': -994.2857142857142}"
-993.714286,947,266.413396,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 8.40999984741211, 'distance': 56.5616340637207, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-996.857143,718,275.832008,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 6.130000114440918, 'distance': 40.456199645996094, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,744,285.384097,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 6.28000020980835, 'distance': 38.40519714355469, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,662,294.171679,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.46999979019165, 'distance': 35.06116485595703, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,619,302.561748,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.059999942779541, 'distance': 31.858354568481445, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,643,311.104273,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.300000190734863, 'distance': 41.396480560302734, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-993.714286,852,321.827364,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.429999828338623, 'distance': 69.99932098388672, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,863,332.676904,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.579999923706055, 'distance': 68.88874816894531, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,870,343.424326,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.420000076293945, 'distance': 69.56966400146484, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-996.857143,775,353.368875,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 6.570000171661377, 'distance': 48.47788619995117, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-993.714286,937,364.949929,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 8.25, 'distance': 74.21942138671875, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-1000.0,326,370.311141,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 3.6054420471191406, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,330,375.606139,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 3.2291665077209473, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,335,381.055679,"{'term': -1.0, 'progress': 0.0, 'time': 2.1500000953674316, 'distance': 3.8902153968811035, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,325,386.316679,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 3.6206037998199463, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,893,397.473245,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 7.769999980926514, 'distance': 27.6644287109375, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,323,402.810805,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.9596747159957886, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,924,414.102484,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 8.0, 'distance': 49.45710754394531, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
