#{"t_start": 1777362906.4614065, "env_id": "None"}
r,l,t,episode_metrics
-996.857143,242,192.723691,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 34.1723747253418, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,240,199.125931,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 24.263378143310547, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,352,207.494135,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.980000019073486, 'distance': 41.818359375, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,239,213.826483,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 27.19025421142578, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,332,221.85886,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.639999866485596, 'distance': 41.703121185302734, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,221,227.879974,"{'term': -1.0, 'progress': 0.0, 'time': 2.6700000762939453, 'distance': 18.31328773498535, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,241,234.228277,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 26.998579025268555, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,224,240.299647,"{'term': -1.0, 'progress': 0.0, 'time': 2.690000057220459, 'distance': 18.162534713745117, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,225,246.43124,"{'term': -1.0, 'progress': 0.0, 'time': 2.819999933242798, 'distance': 20.404277801513672, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,240,252.825397,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 22.558349609375, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,235,259.419339,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 24.700027465820312, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,243,265.832834,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 26.350261688232422, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,260,272.596922,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.369999885559082, 'distance': 28.91440200805664, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,284,279.818609,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.809999942779541, 'distance': 33.159706115722656, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,266,286.680238,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.450000047683716, 'distance': 28.163516998291016, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,273,293.911462,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.700000047683716, 'distance': 34.33055877685547, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,271,300.88844,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.5799999237060547, 'distance': 29.839860916137695, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,259,307.640154,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.3299999237060547, 'distance': 31.48785400390625, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,244,314.033617,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 25.370868682861328, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,242,320.426549,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 30.307233810424805, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,268,326.626893,"{'term': -1.0, 'progress': 0.0, 'time': 2.809999942779541, 'distance': 20.024595260620117, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,230,334.927726,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 28.070877075195312, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,231,341.329476,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 27.78653907775879, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,232,348.018718,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 28.69816780090332, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,235,354.632678,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 29.153690338134766, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,237,361.02839,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 26.67961311340332, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,241,367.419952,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 29.648048400878906, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,235,374.030493,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 28.121719360351562, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,238,380.81842,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 28.566287994384766, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,183,386.318903,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 6.985212326049805, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,267,393.21882,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.609999895095825, 'distance': 28.31809425354004, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,247,399.740441,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.130000114440918, 'distance': 27.57328987121582, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,463,410.098334,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 6.989999771118164, 'distance': 31.34004020690918, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,252,416.81692,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.309999942779541, 'distance': 24.83133316040039, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,316,424.452138,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.340000152587891, 'distance': 29.83198356628418, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,247,431.434107,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.119999885559082, 'distance': 17.245830535888672, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,241,437.940622,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0299999713897705, 'distance': 26.291561126708984, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,181,443.316191,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.2245508432388306, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,328,451.361912,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.75, 'distance': 28.930294036865234, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,371,460.32532,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.320000171661377, 'distance': 29.754810333251953, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,252,467.039225,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.2300000190734863, 'distance': 23.677165985107422, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,267,473.827537,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.4200000762939453, 'distance': 23.666208267211914, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,324,481.729119,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.519999980926514, 'distance': 25.66597557067871, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,305,489.23403,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.230000019073486, 'distance': 32.21833038330078, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,266,496.318571,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.609999895095825, 'distance': 21.878267288208008, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-1000.0,242,502.863052,"{'term': -1.0, 'progress': 0.0, 'time': 3.059999942779541, 'distance': 18.545978546142578, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,180,508.224396,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 0.8895058035850525, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,304,516.077086,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.369999885559082, 'distance': 29.18870735168457, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,225,522.321851,"{'term': -1.0, 'progress': 0.0, 'time': 2.7200000286102295, 'distance': 19.648386001586914, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,223,528.545818,"{'term': -1.0, 'progress': 0.0, 'time': 2.740000009536743, 'distance': 19.54145050048828, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,303,536.125793,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.179999828338623, 'distance': 33.3621826171875, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,237,542.54266,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0399999618530273, 'distance': 21.821027755737305, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-1000.0,208,548.398106,"{'term': -1.0, 'progress': 0.0, 'time': 2.490000009536743, 'distance': 19.16366958618164, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,262,555.140929,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.440000057220459, 'distance': 26.04360008239746, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-1000.0,203,560.927017,"{'term': -1.0, 'progress': 0.0, 'time': 2.4200000762939453, 'distance': 19.787843704223633, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,198,566.536052,"{'term': -1.0, 'progress': 0.0, 'time': 2.2300000190734863, 'distance': 17.809797286987305, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,254,573.297466,"{'term': -1.0, 'progress': 0.0, 'time': 3.390000104904175, 'distance': 17.976318359375, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,251,579.904783,"{'term': -1.0, 'progress': 0.0, 'time': 3.200000047683716, 'distance': 18.830917358398438, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,209,585.802897,"{'term': -1.0, 'progress': 0.0, 'time': 2.5, 'distance': 18.81631851196289, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,257,592.443952,"{'term': -1.0, 'progress': 0.0, 'time': 3.3399999141693115, 'distance': 19.673871994018555, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,294,600.072714,"{'term': -1.0, 'progress': 0.0, 'time': 4.170000076293945, 'distance': 18.078384399414062, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,178,605.713455,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.5324704051017761, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,216,611.887877,"{'term': -1.0, 'progress': 0.0, 'time': 2.680000066757202, 'distance': 17.85433578491211, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,245,618.40521,"{'term': -1.0, 'progress': 0.0, 'time': 3.0999999046325684, 'distance': 19.44560432434082, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,333,626.580737,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.769999980926514, 'distance': 28.109600067138672, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,188,634.441898,"{'term': -1.0, 'progress': 0.0, 'time': 2.3399999141693115, 'distance': 17.748510360717773, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,218,641.274058,"{'term': -1.0, 'progress': 0.0, 'time': 2.9700000286102295, 'distance': 21.029943466186523, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,227,648.219735,"{'term': -1.0, 'progress': 0.0, 'time': 2.9100000858306885, 'distance': 18.055992126464844, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,190,654.018952,"{'term': -1.0, 'progress': 0.0, 'time': 2.309999942779541, 'distance': 17.393341064453125, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,186,659.63142,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 2.294527292251587, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,293,667.782482,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.570000171661377, 'distance': 31.567424774169922, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,289,675.224436,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.019999980926514, 'distance': 26.86879539489746, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,270,682.176875,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.569999933242798, 'distance': 27.299089431762695, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,282,689.534514,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.809999942779541, 'distance': 27.396501541137695, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,360,698.294227,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.190000057220459, 'distance': 30.091506958007812, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,181,703.727763,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 3.065877914428711, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,267,710.63283,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.619999885559082, 'distance': 29.796817779541016, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-1000.0,182,716.01997,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.71905517578125, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
