timestamp_utc,episode,term,progress,time,distance,fitness,progress_delta,last_reward_progress,episode_reward,timesteps
2026-04-28T04:30:18Z,1,-1,5.714285714285714,6.869999885559082,57.94365692138672,-994285714.2857143,0.0,5.714285714285714,-993.714286,916
2026-04-28T04:30:27Z,2,-1,5.714285714285714,7.460000038146973,65.22045135498047,-994285714.2857143,0.0,5.714285714285714,-993.714286,1830
2026-04-28T04:30:38Z,3,-1,5.714285714285714,7.039999961853027,76.45047760009766,-994285714.2857143,0.0,5.714285714285714,-993.714286,2700
2026-04-28T04:30:47Z,4,-1,5.714285714285714,5.949999809265137,68.86380767822266,-994285714.2857143,0.0,5.714285714285714,-993.714286,3460
2026-04-28T04:30:56Z,5,-1,2.857142857142857,5.519999980926514,42.1956672668457,-997142857.1428572,0.0,2.857142857142857,-996.857143,4165
2026-04-28T04:31:05Z,6,-1,5.714285714285714,5.840000152587891,57.80353927612305,-994285714.2857143,0.0,5.714285714285714,-993.714286,4890
2026-04-28T04:31:17Z,7,-1,5.714285714285714,8.859999656677246,63.40644836425781,-994285714.2857143,0.0,5.714285714285714,-993.714286,5911
2026-04-28T04:31:30Z,8,-1,5.714285714285714,9.039999961853027,56.71967697143555,-994285714.2857143,0.0,5.714285714285714,-993.714286,6980
2026-04-28T04:31:41Z,9,-1,5.714285714285714,7.699999809265137,58.92009735107422,-994285714.2857143,0.0,5.714285714285714,-993.714286,7921
2026-04-28T04:31:53Z,10,-1,8.571428571428571,8.65999984741211,78.37510681152344,-991428571.4285715,0.0,8.571428571428571,-990.571429,8961
2026-04-28T04:32:05Z,11,-1,5.714285714285714,9.100000381469727,64.94280242919922,-994285714.2857143,0.0,5.714285714285714,-993.714286,10040
2026-04-28T04:32:16Z,12,-1,5.714285714285714,7.480000019073486,58.00169372558594,-994285714.2857143,0.0,5.714285714285714,-993.714286,10945
2026-04-28T04:32:25Z,13,-1,2.857142857142857,5.300000190734863,39.288936614990234,-997142857.1428572,0.0,2.857142857142857,-996.857143,11628
2026-04-28T04:32:34Z,14,-1,2.857142857142857,5.900000095367432,45.74641036987305,-997142857.1428572,0.0,2.857142857142857,-996.857143,12374
2026-04-28T04:32:44Z,15,-1,5.714285714285714,6.739999771118164,65.27094268798828,-994285714.2857143,0.0,5.714285714285714,-993.714286,13187
2026-04-28T04:32:52Z,16,-1,2.857142857142857,3.9800000190734863,35.88423156738281,-997142857.1428572,0.0,2.857142857142857,-996.857143,13714
2026-04-28T04:33:00Z,17,-1,2.857142857142857,4.860000133514404,48.02872085571289,-997142857.1428572,0.0,2.857142857142857,-996.857143,14307
2026-04-28T04:33:08Z,18,-1,2.857142857142857,4.300000190734863,44.03041458129883,-997142857.1428572,0.0,2.857142857142857,-996.857143,14867
2026-04-28T04:33:19Z,19,-1,5.714285714285714,7.760000228881836,75.14111328125,-994285714.2857143,0.0,5.714285714285714,-993.714286,15797
2026-04-28T04:33:27Z,20,-1,2.857142857142857,4.28000020980835,34.94675827026367,-997142857.1428572,0.0,2.857142857142857,-996.857143,16361
2026-04-28T04:33:36Z,21,-1,5.714285714285714,5.800000190734863,49.50162887573242,-994285714.2857143,0.0,5.714285714285714,-993.714286,17038
2026-04-28T04:33:46Z,22,-1,2.857142857142857,6.429999828338623,41.839908599853516,-997142857.1428572,0.0,2.857142857142857,-996.857143,17483
2026-04-28T04:33:56Z,23,-1,2.857142857142857,5.650000095367432,33.98640060424805,-997142857.1428572,0.0,2.857142857142857,-996.857143,17876
2026-04-28T04:34:04Z,24,-1,2.857142857142857,5.070000171661377,25.5308895111084,-997142857.1428572,0.0,2.857142857142857,-996.857143,18247
2026-04-28T04:34:12Z,25,-1,2.857142857142857,4.610000133514404,30.203388214111328,-997142857.1428572,0.0,2.857142857142857,-996.857143,18594
2026-04-28T04:34:20Z,26,-1,2.857142857142857,4.570000171661377,31.984773635864258,-997142857.1428572,0.0,2.857142857142857,-996.857143,18935
2026-04-28T04:34:31Z,27,-1,2.857142857142857,7.179999828338623,45.76305389404297,-997142857.1428572,0.0,2.857142857142857,-996.857143,19430
2026-04-28T04:34:38Z,28,-1,2.857142857142857,3.6500000953674316,34.5426139831543,-997142857.1428572,0.0,2.857142857142857,-996.857143,19723
2026-04-28T04:34:44Z,29,-1,0.0,2.549999952316284,19.067466735839844,-1000000000.0,0.0,0.0,-1000.0,19944
2026-04-28T04:34:50Z,30,-1,2.857142857142857,3.0199999809265137,21.03341293334961,-997142857.1428572,0.0,2.857142857142857,-996.857143,20205
2026-04-28T04:34:57Z,31,-1,2.857142857142857,3.0299999713897705,27.748807907104492,-997142857.1428572,0.0,2.857142857142857,-996.857143,20632
2026-04-28T04:35:04Z,32,-1,2.857142857142857,3.1700000762939453,30.304716110229492,-997142857.1428572,0.0,2.857142857142857,-996.857143,21103
