#{"t_start": 1777457424.5316324, "env_id": "None"}
r,l,t,episode_metrics
-1000.0,70,104.798201,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 1.8545341491699219, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,70,108.387713,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.03093314915895462, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,40,111.987277,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.04105830192565918, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,1,116.393744,"{'term': -1.0, 'progress': 0.0, 'time': 2.799999952316284, 'distance': 0.017317170277237892, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-988.571429,243,123.810293,"{'term': -1.0, 'progress': 11.428571428571429, 'time': 5.829999923706055, 'distance': 99.1512451171875, 'fitness': -988571428.5714285, 'fitness_delta_score': -988.5714285714286, 'last_fitness_delta_score': -988.5714285714286, 'last_fitness_delta_progress': 11.428571428571429, 'reward': -997.1428571428571}"
-988.571429,321,131.628667,"{'term': -1.0, 'progress': 11.428571428571429, 'time': 6.25, 'distance': 110.92747497558594, 'fitness': -988571428.5714285, 'fitness_delta_score': -988.5714285714286, 'last_fitness_delta_score': -988.5714285714286, 'last_fitness_delta_progress': 11.428571428571429, 'reward': -1000.0}"
-1000.0,5,135.203446,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 0.02280854620039463, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,1,138.945936,"{'term': -1.0, 'progress': 0.0, 'time': 2.1500000953674316, 'distance': 0.012253937311470509, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,1,143.186346,"{'term': -1.0, 'progress': 0.0, 'time': 2.5899999141693115, 'distance': 0.014801622368395329, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,26,146.788046,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.33603137731552124, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
