timestamp_utc,generation,individual_index,term,is_finish,total_progress,distance,time,fitness
2026-04-07T09:10:51Z,1,0,-1,0,2.857142857142857,25.490148602053523,4.539999961853027,-997188257.1424756
2026-04-07T09:10:51Z,1,1,-1,0,0.0,9.714635848999023,3.0149999856948853,-1000030149.999857
2026-04-07T09:10:51Z,1,2,-1,0,2.857142857142857,46.571754455566406,7.074999809265137,-997213607.1409497
2026-04-07T09:10:51Z,1,3,-1,0,0.0,0.2635164186358452,3.034999966621399,-1000030349.9996662
2026-04-07T09:10:51Z,1,4,-1,0,5.714285714285714,66.59526824951172,10.309999704360962,-994388814.282758
2026-04-07T09:10:51Z,1,5,-1,0,5.714285714285714,71.79399108886719,3.5149999856948853,-994320864.2855712
2026-04-07T09:10:51Z,1,6,-1,0,0.0,6.996000289916992,3.0149999856948853,-1000030149.999857
2026-04-07T09:10:51Z,1,7,-1,0,0.0,6.086267471313477,3.009999990463257,-1000030099.9999046
2026-04-07T09:10:51Z,1,8,-1,0,5.714285714285714,66.56831741333008,9.720000267028809,-994382914.2883846
2026-04-07T09:10:51Z,1,9,-1,0,5.714285714285714,70.90671157836914,4.625,-994331964.2857143
2026-04-07T09:10:51Z,1,10,-1,0,0.0,25.97934579849243,3.009999990463257,-1000030099.9999046
2026-04-07T09:10:51Z,1,11,-1,0,7.142857142857142,68.40871238708496,9.045000076293945,-992947592.8579059
2026-04-07T09:10:51Z,1,12,-1,0,5.714285714285714,69.84152221679688,8.240000247955322,-994368114.2881938
2026-04-07T09:10:51Z,1,13,-1,0,0.0,6.83413553237915,3.0149999856948853,-1000030149.999857
2026-04-07T09:10:51Z,1,14,-1,0,4.285714285714286,48.16633701324463,6.119999885559082,-995775485.7131413
2026-04-07T09:10:51Z,1,15,-1,0,1.4285714285714286,15.653142750263214,3.274999976158142,-998604178.5711901
2026-04-07T09:10:51Z,1,16,-1,0,0.0,6.151729017496109,3.009999990463257,-1000030099.9999046
2026-04-07T09:10:51Z,1,17,-1,0,0.0,0.8150901198387146,3.009999990463257,-1000030099.9999046
2026-04-07T09:10:51Z,1,18,-1,0,2.857142857142857,28.121532037854195,6.6849998235702515,-997209707.1410928
2026-04-07T09:10:51Z,1,19,-1,0,0.0,38.11070442199707,3.009999990463257,-1000030099.9999046
2026-04-07T09:15:42Z,2,0,-1,0,5.714285714285714,52.4928503036499,8.070000171661377,-994366414.287431
2026-04-07T09:15:42Z,2,1,-1,0,5.714285714285714,71.97594833374023,3.4950000047683716,-994320664.285762
2026-04-07T09:15:42Z,2,2,-1,0,5.714285714285714,72.12661361694336,5.420000076293945,-994339914.2864772
2026-04-07T09:15:42Z,2,3,-1,0,5.714285714285714,70.09794235229492,8.765000104904175,-994373364.2867633
2026-04-07T09:15:42Z,2,4,-1,0,5.714285714285714,67.08658027648926,9.595000267028809,-994381664.2883846
2026-04-07T09:15:42Z,2,5,-1,0,0.0,0.5525706354528666,3.009999990463257,-1000030099.9999046
2026-04-07T09:15:42Z,2,6,-1,0,1.4285714285714286,29.910757064819336,4.165000081062317,-998613078.5722392
2026-04-07T09:15:42Z,2,7,-1,0,0.0,8.92125791311264,3.009999990463257,-1000030099.9999046
2026-04-07T09:15:42Z,2,8,-1,0,4.285714285714286,52.28125,6.755000114440918,-995781835.7154301
2026-04-07T09:15:42Z,2,9,-1,0,2.857142857142857,36.2728796005249,5.304999947547913,-997195907.1423327
