timestamp_utc,generation,dist_avg,dist_best_gen,dist_best_global,time_avg,time_best_gen,time_best_global,finish_rate,crash_rate,timeout_rate,best_term,best_progress,best_distance,best_time,best_fitness
2026-04-07T09:10:51Z,1,2.5,7.142857142857142,7.142857142857142,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,68.40871238708496,9.045000076293945,-992947592.8579059
2026-04-07T09:15:42Z,2,3.7142860889434814,5.714285714285714,7.142857142857142,40.0,40.0,40.0,0.0,1.0,0.0,-1,5.714285714285714,71.97594833374023,3.4950000047683716,-994320664.285762
2026-04-07T09:20:00Z,3,4.285714149475098,7.142857142857142,7.142857142857142,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,73.92202758789062,7.159999966621399,-992928742.8568091
2026-04-07T09:24:05Z,4,3.714285373687744,7.142857142857142,7.142857142857142,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,74.57483291625977,7.570000171661377,-992932842.8588595
2026-04-07T09:28:12Z,5,3.7142856121063232,7.142857142857142,7.142857142857142,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,75.43119430541992,4.200000047683716,-992899142.8576198
2026-04-07T09:32:20Z,6,4.0,7.142857142857142,7.142857142857142,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,74.62027359008789,7.454999923706055,-992931692.85638
2026-04-07T09:36:00Z,7,4.0714287757873535,7.142857142857142,7.142857142857142,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,74.51385879516602,7.3500001430511475,-992930642.8585734
2026-04-07T09:39:44Z,8,4.571429252624512,10.0,10.0,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,104.19286727905273,7.739999771118164,-990077399.9977112
2026-04-07T09:43:18Z,9,4.285714149475098,10.0,10.0,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,104.03125762939453,7.5000001192092896,-990075000.0011921
2026-04-07T09:46:54Z,10,3.857142925262451,10.0,10.0,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,105.80854797363281,7.355000138282776,-990073550.0013828
2026-04-07T09:50:22Z,11,3.7857143878936768,7.142857142857142,10.0,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,87.03004837036133,6.820000052452087,-992925342.8576674
2026-04-07T09:53:50Z,12,3.2857139110565186,10.0,10.0,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,105.62960433959961,7.4949997663497925,-990074949.9976635
2026-04-07T09:57:32Z,13,4.357142448425293,10.0,10.0,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,102.26119995117188,7.564999938011169,-990075649.9993801
2026-04-07T10:01:26Z,14,4.857142448425293,11.428571428571427,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,11.428571428571427,110.46024703979492,7.095000147819519,-988642378.5729067
2026-04-07T10:04:47Z,15,3.2142856121063232,7.142857142857142,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,77.04646682739258,5.034999966621399,-992907492.8568091
2026-04-07T10:08:06Z,16,3.999999523162842,7.142857142857142,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,65.26691627502441,3.569999933242798,-992892842.8564754
2026-04-07T10:11:33Z,17,4.071428298950195,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,78.9131965637207,4.020000100135803,-991468771.4295728
2026-04-07T10:14:57Z,18,3.7857143878936768,10.0,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,111.8808708190918,7.3349997997283936,-990073349.9979973
2026-04-07T10:18:25Z,19,3.857142925262451,7.142857142857142,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,80.78595733642578,3.9750001430511475,-992896892.8585734
2026-04-07T10:22:17Z,20,4.714285850524902,10.0,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,112.27079010009766,7.490000009536743,-990074900.0000954
2026-04-07T10:25:43Z,21,3.7857143878936768,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,87.14827346801758,4.265000104904175,-991471221.4296205
2026-04-07T10:29:41Z,22,5.285714149475098,10.0,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,110.24123001098633,6.980000257492065,-990069800.0025749
2026-04-07T10:33:25Z,23,3.9285712242126465,7.142857142857142,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,69.40252685546875,3.8049999475479126,-992895192.8566184
2026-04-07T10:36:54Z,24,4.285714149475098,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,88.2340202331543,4.845000147819519,-991477021.4300497
2026-04-07T10:40:34Z,25,4.999999523162842,10.0,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,112.62757873535156,7.489999771118164,-990074899.9977112
2026-04-07T10:44:02Z,26,4.642856597900391,10.0,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,111.06295776367188,7.079999923706055,-990070799.9992371
2026-04-07T10:47:26Z,27,5.0,7.142857142857142,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,65.18069648742676,3.2050000429153442,-992889192.8575721
2026-04-07T10:50:47Z,28,4.428571701049805,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,94.87508010864258,5.069999933242798,-991479271.4279039
2026-04-07T10:54:33Z,29,5.0,7.142857142857142,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,7.142857142857142,65.85363388061523,3.2850000858306885,-992889992.8580012
2026-04-07T10:58:14Z,30,4.5714287757873535,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,105.64484024047852,8.029999852180481,-991508871.4270933
2026-04-07T11:01:48Z,31,4.642857551574707,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,103.46069717407227,7.754999876022339,-991506121.4273317
2026-04-07T11:05:14Z,32,4.071428298950195,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,104.45859909057617,7.949999809265137,-991508071.4266641
2026-04-07T11:08:53Z,33,5.285714149475098,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,96.82190322875977,4.194999933242798,-991470521.4279039
2026-04-07T11:12:23Z,34,4.214285850524902,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,97.99964904785156,4.2850000858306885,-991471421.4294298
2026-04-07T11:15:52Z,35,4.4285712242126465,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,90.10297012329102,4.549999952316284,-991474071.4280946
2026-04-07T11:19:24Z,36,4.999999046325684,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,102.48757553100586,4.920000076293945,-991477771.4293344
2026-04-07T11:22:51Z,37,4.857142448425293,8.571428571428571,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,8.571428571428571,89.81694412231445,4.519999980926514,-991473771.4283807
2026-04-07T11:26:28Z,38,5.499999523162842,11.428571428571427,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,11.428571428571427,105.30545043945312,5.159999847412109,-988623028.5699027
2026-04-07T11:30:23Z,39,5.714285850524902,10.0,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,10.0,90.31187057495117,4.565000057220459,-990045650.0005722
2026-04-07T11:34:26Z,40,6.214285373687744,11.428571428571427,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,11.428571428571427,111.99483489990234,7.2499998807907104,-988643928.5702364
2026-04-07T11:38:27Z,41,5.857142925262451,11.428571428571427,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,11.428571428571427,107.55465698242188,5.1000001430511475,-988622428.572859
2026-04-07T11:42:12Z,42,5.0714287757873535,11.428571428571427,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,11.428571428571427,107.25775909423828,6.950000286102295,-988640928.5742896
2026-04-07T11:46:06Z,43,5.500000476837158,11.428571428571427,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,11.428571428571427,106.56317520141602,6.7850000858306885,-988639278.5722868
2026-04-07T11:50:22Z,44,6.0714287757873535,11.428571428571427,11.428571428571427,40.0,40.0,40.0,0.0,1.0,0.0,-1,11.428571428571427,104.64482879638672,5.059999942779541,-988622028.5708563
2026-04-07T11:54:50Z,45,6.214285373687744,12.857142857142858,12.857142857142858,40.0,40.0,40.0,0.0,1.0,0.0,-1,12.857142857142858,125.20856857299805,8.02999997138977,-987223157.142571
2026-04-07T11:59:19Z,46,6.499999046325684,12.857142857142858,12.857142857142858,40.0,40.0,40.0,0.0,1.0,0.0,-1,12.857142857142858,126.65987014770508,7.955000162124634,-987222407.1444783
2026-04-07T12:03:45Z,47,6.357142448425293,12.857142857142858,12.857142857142858,40.0,40.0,40.0,0.0,1.0,0.0,-1,12.857142857142858,129.0863494873047,8.28499984741211,-987225707.1413312
2026-04-07T12:08:12Z,48,6.142857551574707,12.857142857142858,12.857142857142858,40.0,40.0,40.0,0.0,1.0,0.0,-1,12.857142857142858,128.9614143371582,8.200000047683716,-987224857.1433339
